Supermercado,Fecha_extraccion,Categoria,Articulo,Precio
IBERIA,03-09-2025 16:49:50,Abarrotes,1 LIBRA CAFE EN/GRANO CARACOLILLO SANT.D,335.0
IBERIA,03-09-2025 16:49:50,Abarrotes,19 CRIMES THE BARNISHED 12/750ML,1450.0
IBERIA,03-09-2025 16:49:50,Abarrotes,A H BAKING SODA 8 OZ.,90.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AAHAA GALLETA VAINILLA 180GX48,40.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ACEITE CRISOL 96 OZ,420.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ACEITE CRISOL MAS 64 OZS,275.01
IBERIA,03-09-2025 16:49:50,Abarrotes,ACEITE DIAMANTE 64 OZ.,270.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AGUA CON GAS PERRIER 330 ML,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AGUA CRYSTAL 1 GL,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AGUA DE PRIMERA 16 OZ,11.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AGUA TONICA SCHWEPPES 4/SIX PACK,100.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJI CUBANELA LB,34.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJI LONGANICERO LB,150.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJINOMOTO VIZCAYA / 95 GRS. REF.1624,48.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA CONSTANZA / 4.5 OZ 48/1,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA CONSTANZA 15 OZ,200.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA CONSTANZA 8 0Z.,130.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA EL GUSTOSO / 20 OZ,185.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA EL GUSTOSO 12/36OZ.,320.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJO EN PASTA EL GUSTOSO 48 /5.5 0Z.,59.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJONJOLI AMERICANO 12 OZ,175.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJONJOLI CRIOLLO 16 OZ EBEN-EZER,210.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AJONJOLI SELECTO PRO-EDEN,150.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALACT KIDS 4 PV VAN 800G,1200.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALACTA KIDS 4 PV VAN 1500G,2050.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALACTA PLUS NEW FORMULA EN POLVO 800GR,1200.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALACTA PLUS PV VAN 1500.G/6LATA,2000.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALACTA PLUS PV VAN 375.G/6LATA,660.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALBO FABADA ASTURIANA 425 GR RF: 00644,135.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALBO FABADA ASTURIANA 850 GR RF: 00647,250.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ALPISTE PULVERIZADO 8 OZ,190.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ANCHOR BOLSA D/LECHE 800G,530.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ANIS DULCE ESPECIAS DE ORIENTE /85 GR,75.0
IBERIA,03-09-2025 16:49:50,Abarrotes,APIO LB,26.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARGAL JAMON YORK SANDWICH LBS,260.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARIEL DETERGENTE EN REGULAR 1500GRS,435.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARLA M1 GOLD FORMULA INFANTIL 6/800 R/16,1500.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARLEQUIN BONITO DEL NORTE EN ACEITE DE O,395.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARLEQUIN BONITO DEL NORTE EN ACEITE DE O,130.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARLEQUIN CALAMARE (TROZOS) EN SU TINTA 1,130.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARLEQUIN MEJILLONES EN ESCABECHE 120GR,250.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ARROZ SELECTO BISONO 10 LBS,415.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ATUN CHERRY STAR ACEITE 3.3 OZ TROZOS 48,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ATUN PACO FISH AGUA DESMENUZADO/FLAKE 5O,65.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ATUN SIRENA TROZOS ACEITE 48/142G,100.0
IBERIA,03-09-2025 16:49:50,Abarrotes,ATUN SIRENA TROZOS EN AGUA 48/142G,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX BUTT C 16 OZ,155.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX BUTT C 32 OZ,240.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX COMP 16 OZ,160.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX COMP 32 OZ,250.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX ORIG 16 OZ,175.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA PANCAKE MIX ORIG 32 OZ,215.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA SYRUP LITE 12 OZ,140.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUNT JEMIMA SYRUP ORIG 12 OZ,120.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AUYAMA LB,18.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA AMERICANA INSTANTANEA 30/590 GN,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA AMERICANA INSTANTANEA 650 GRS.,80.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA AMERICANA MOLIA 30/540G R/10322256,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA DEL REY INSTANTANEA 20/650G,75.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA EL REY MOLIDA 20/600G,75.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA ENTERA CORAZON SANO 20X650GR,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL 12OZ PRODESA,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL 8 OZ EBEN-EZER,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA INTEGRAL ENTERA PROEDEN,57.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA MOLIDA 16 OZ,90.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVENA NUTREMAS 20/650 GR,85.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA GALLETAS FINAS HIERBAS 9UND,105.0
IBERIA,03-09-2025 16:49:50,Abarrotes,AVIVA MULTICEREAL LGA40463,105.0
